date,precipitation_mm,temperature_degC,pet_mm
1982-04-30,1.1115,4.5195,1.4394764814549155
1982-05-01,3.2495,4.9995,1.5196035549442317
1982-05-02,0.5869,6.3612,1.7349608216785233
1982-05-03,0.8649,7.3394,1.893324647494059
1982-05-04,7.9591,6.8237,1.8226463638982757
1982-05-05,16.8139,4.8828,1.5303812291886245
1982-05-06,0.6009,3.6027,1.338067184205408
1982-05-07,1.9725,3.8246,1.3785256580834753
1982-05-08,2.4223,2.6168,1.1948750261171626
1982-05-09,4.3935,-2.8138,0.34436865125261723
1982-05-10,0.8744,-5.8448,0.0
1982-05-11,0.2632,-1.1946,0.604176280655603
1982-05-12,4.0809,0.9593,0.9497405061052969
1982-05-13,7.3903,1.8122,1.0896779055002126
1982-05-14,10.9883,0.8249,0.9350938619595821
1982-05-15,7.9465,2.2984,1.1757244417787298
1982-05-16,1.8698,5.0365,1.6222834567046658
1982-05-17,6.5084,6.5092,1.8664304025364455
1982-05-18,8.1447,6.5936,1.8860928305928153
1982-05-19,5.93,7.2717,2.002551397458346
1982-05-20,5.9335,8.0122,2.129708589694134
1982-05-21,4.7081,9.351,2.35558437086499
1982-05-22,19.6688,7.5569,2.066820346742618
1982-05-23,10.9017,6.8257,1.9516767717820798
1982-05-24,7.9289,6.5642,1.913438563499461
1982-05-25,9.438,8.921,2.309109865938802
1982-05-26,17.7034,4.0357,1.502341732675874
1982-05-27,4.8081,5.4296,1.7380611693428278
1982-05-28,13.772,4.681,1.6168360636783539
1982-05-29,9.2039,1.6335,1.1101838880848505
1982-05-30,3.935,1.4979,1.0896570895804465
1982-05-31,1.7248,1.2552,1.0509475462128417
1982-06-01,0.1408,4.3965,1.5815666571919944
1982-06-02,0.0069,7.1477,2.048121204499407
1982-06-03,6.3311,7.6668,2.139082486903087
1982-06-04,7.2635,6.3381,1.9176037289318655
1982-06-05,8.3764,6.4283,1.935607271017263
1982-06-06,18.8775,7.4024,2.103379135306571
1982-06-07,14.4395,0.6925,0.966607987087758
1982-06-08,0.0034,5.9351,1.8589384704651315
1982-06-09,4.2866,9.0286,2.3873220417503718
1982-06-10,5.0019,8.5089,2.301074492229998
1982-06-11,3.0731,8.8059,2.353689197458062
1982-06-12,7.7312,8.1221,2.2388304098965772
1982-06-13,12.1406,7.6118,2.1532191372547436
1982-06-14,18.5181,4.535,1.6288648878915424
1982-06-15,16.0696,0.1116,0.8736438058898508
1982-06-16,0.6534,0.8445,0.9993050993126829
1982-06-17,7.5526,2.909,1.352712766633133
1982-06-18,5.7931,4.149,1.5651322103713015
1982-06-19,5.7763,5.5253,1.800799767140565
1982-06-20,3.0191,7.6616,2.1663731066493357
1982-06-21,6.5532,7.3844,2.118817582027887
1982-06-22,5.3941,8.5484,2.3176121757257993
1982-06-23,8.5419,9.1636,2.4222602376893527
1982-06-24,5.3377,9.3369,2.4510774756407954
1982-06-25,7.0453,10.115,2.583002416479477
1982-06-26,10.6485,10.8034,2.699245007015733
1982-06-27,13.058,10.7054,2.6808721978617713
1982-06-28,14.4175,10.1818,2.5896788631761565
1982-06-29,12.1012,10.0002,2.5566743221110273
1982-06-30,16.8243,10.1991,2.5882849705502022
1982-07-01,10.2651,6.7463,1.9983486916344517
1982-07-02,6.8023,8.5601,2.304459600313186
1982-07-03,11.5477,7.4548,2.114165582802193
1982-07-04,9.4674,7.6964,2.1524785004905396
1982-07-05,7.7629,8.3929,2.267507459395933
1982-07-06,23.8859,5.485,1.7726305167315215
1982-07-07,8.2436,3.8204,1.4889273056892016
1982-07-08,0.839,7.3167,2.0757481482624294
1982-07-09,7.175,8.5655,2.2822895791651905
1982-07-10,9.0872,8.1894,2.21500185162966
1982-07-11,9.3302,8.2815,2.2262280795860425
1982-07-12,12.4283,7.1639,2.0348298447370747
1982-07-13,9.8465,7.0211,2.0067410333416404
1982-07-14,8.7091,7.9951,2.1645998422301713
1982-07-15,9.84,7.9899,2.158805727534943
1982-07-16,1.4368,8.4507,2.2300835937497996
1982-07-17,1.2909,10.1013,2.4975701545168816
1982-07-18,3.2095,10.1602,2.5008857303776004
1982-07-19,2.5031,10.5196,2.5533673180373833
1982-07-20,1.8267,9.4584,2.372220179374182
1982-07-21,0.4653,11.1559,2.643174720246324
1982-07-22,6.6738,12.2354,2.811472438742205
1982-07-23,17.4832,11.6854,2.7134663872500764
1982-07-24,14.8376,8.8521,2.245619799637939
1982-07-25,8.341,9.2269,2.2989044030089616
1982-07-26,14.9022,9.8208,2.3868731612489915
1982-07-27,13.3999,11.6146,2.6665607526109394
1982-07-28,11.18,11.5723,2.6503602398019215
